category,cooking_method,cuisine,image,ingredients,prep_time,recipe_name,serves,tags,category_encoded,cooking_method_encoded,cuisine_encoded,ingredients_str
main course,baking,italian,https://example.com/lasagna.jpg,"['lasagna sheets', 'ricotta', 'ground beef', 'tomato sauce']",60,Classic Lasagna,6,"['dairy', 'kid friendly']",1,0,12,lasagna sheets ricotta ground beef tomato sauce
snack,frying,indian,https://example.com/samosa.jpg,"['potatoes', 'peas', 'flour', 'spices', 'oil']",45,Samosa,4,"['vegan', 'spicy']",3,3,11,potatoes peas flour spices oil
dessert,baking,french,https://example.com/macaron.jpg,"['almond flour', 'egg whites', 'sugar', 'food coloring']",120,French Macarons,12,"['gluten free', 'sweet']",0,0,8,almond flour egg whites sugar food coloring
side dish,boiling,japanese,https://example.com/miso_soup.jpg,"['miso paste', 'tofu', 'green onions', 'seaweed']",15,Miso Soup,4,"['low carb', 'vegetarian']",2,1,13,miso paste tofu green onions seaweed
main course,grilling,american,https://example.com/bbq_ribs.jpg,"['pork ribs', 'barbecue sauce', 'spices']",60,BBQ Ribs,4,"['kid friendly', 'spicy']",1,4,1,pork ribs barbecue sauce spices
dessert,baking,italian,https://example.com/tiramisu.jpg,"['mascarpone', 'coffee', 'ladyfingers', 'cocoa powder']",30,Tiramisu,8,"['dairy', 'sweet']",0,0,12,mascarpone coffee ladyfingers cocoa powder
snack,steaming,chinese,https://example.com/dumplings.jpg,"['pork', 'cabbage', 'soy sauce', 'ginger', 'garlic']",40,Chinese Dumplings,4,"['low carb', 'kid friendly']",3,6,6,pork cabbage soy sauce ginger garlic
main course,boiling,thai,https://example.com/tom_yum.jpg,"['shrimp', 'lemongrass', 'chili paste', 'mushrooms']",30,Tom Yum Soup,4,"['spicy', 'keto']",1,1,18,shrimp lemongrass chili paste mushrooms
snack,baking,mexican,https://example.com/nachos.jpg,"['corn chips', 'cheese', 'jalapeños', 'salsa']",20,Nachos,4,"['vegetarian', 'quick']",3,0,16,corn chips cheese jalapeños salsa
main course,frying,indian,https://example.com/butter_chicken.jpg,"['chicken', 'butter', 'cream', 'tomatoes']",50,Butter Chicken,4,"['dairy', 'spicy']",1,3,11,chicken butter cream tomatoes
dessert,roasting,american,https://example.com/apple_pie.jpg,"['apples', 'sugar', 'cinnamon', 'pie crust']",90,Apple Pie,6,"['vegetarian', 'sweet']",0,5,1,apples sugar cinnamon pie crust
main course,boiling,italian,https://example.com/spaghetti_carbonara.jpg,"['spaghetti', 'eggs', 'pancetta', 'parmesan']",30,Spaghetti Carbonara,4,"['quick', 'dairy']",1,1,12,spaghetti eggs pancetta parmesan
snack,frying,american,https://example.com/onion_rings.jpg,"['onions', 'flour', 'bread crumbs', 'oil']",25,Onion Rings,4,"['vegetarian', 'kid friendly']",3,3,1,onions flour bread crumbs oil
side dish,grilling,japanese,https://example.com/yakitori.jpg,"['chicken skewers', 'soy sauce', 'mirin', 'sugar']",35,Yakitori,4,"['low carb', 'keto']",2,4,13,chicken skewers soy sauce mirin sugar
dessert,baking,french,https://example.com/croissant.jpg,"['flour', 'butter', 'yeast', 'sugar']",120,Croissant,8,"['dairy', 'sweet']",0,0,8,flour butter yeast sugar
main course,frying,mexican,https://example.com/chimichanga.jpg,"['tortilla', 'beef', 'beans', 'cheese']",40,Chimichanga,4,"['spicy', 'kid friendly']",1,3,16,tortilla beef beans cheese
snack,baking,american,https://example.com/brownies.jpg,"['chocolate', 'flour', 'sugar', 'eggs']",40,Brownies,12,"['gluten free', 'sweet']",3,0,1,chocolate flour sugar eggs
dessert,baking,japanese,https://example.com/mochi.jpg,"['glutinous rice', 'sugar', 'cornstarch']",50,Mochi,6,"['vegetarian', 'gluten free']",0,0,13,glutinous rice sugar cornstarch
main course,steaming,chinese,https://example.com/pork_buns.jpg,"['pork', 'flour', 'yeast', 'sugar']",60,Steamed Pork Buns,6,"['dairy free', 'sweet']",1,6,6,pork flour yeast sugar
side dish,baking,italian,https://example.com/garlic_bread.jpg,"['baguette', 'garlic', 'butter', 'parsley']",20,Garlic Bread,8,"['vegetarian', 'quick']",2,0,12,baguette garlic butter parsley
snack,frying,thai,https://example.com/spring_rolls.jpg,"['vegetables', 'rice paper', 'soy sauce']",30,Spring Rolls,4,"['vegetarian', 'low carb']",3,3,18,vegetables rice paper soy sauce
main course,grilling,american,https://example.com/burger.jpg,"['beef patty', 'bun', 'lettuce', 'tomato']",20,Cheeseburger,4,"['kid friendly', 'quick']",1,4,1,beef patty bun lettuce tomato
dessert,baking,french,https://example.com/eclair.jpg,"['pate a choux', 'cream', 'chocolate']",60,Chocolate Eclair,6,"['dairy', 'sweet']",0,0,8,pate a choux cream chocolate
side dish,roasting,mexican,https://example.com/street_corn.jpg,"['corn', 'mayonnaise', 'chili powder', 'lime']",25,Mexican Street Corn,4,"['spicy', 'vegetarian']",2,5,16,corn mayonnaise chili powder lime
main course,boiling,thai,https://example.com/green_curry.jpg,"['chicken', 'green curry paste', 'coconut milk', 'vegetables']",45,Green Curry,4,"['dairy free', 'spicy']",1,1,18,chicken green curry paste coconut milk vegetables
snack,frying,indian,https://example.com/chaat.jpg,"['potatoes', 'chickpeas', 'tamarind', 'spices']",30,Papdi Chaat,4,"['vegan', 'quick']",3,3,11,potatoes chickpeas tamarind spices
dessert,baking,italian,https://example.com/cannoli.jpg,"['ricotta', 'sugar', 'pastry dough', 'chocolate chips']",45,Cannoli,6,"['dairy', 'sweet']",0,0,12,ricotta sugar pastry dough chocolate chips
main course,grilling,japanese,https://example.com/teriyaki_chicken.jpg,"['chicken', 'soy sauce', 'sugar', 'ginger']",40,Teriyaki Chicken,4,"['keto', 'low carb']",1,4,13,chicken soy sauce sugar ginger
side dish,boiling,french,https://example.com/ratatouille.jpg,"['tomatoes', 'zucchini', 'eggplant', 'bell peppers']",50,Ratatouille,4,"['vegetarian', 'low carb']",2,1,8,tomatoes zucchini eggplant bell peppers
dessert,baking,american,https://example.com/chocolate_chip_cookies.jpg,"['flour', 'sugar', 'butter', 'chocolate chips']",30,Chocolate Chip Cookies,12,"['kid friendly', 'sweet']",0,0,1,flour sugar butter chocolate chips
snack,frying,chinese,https://example.com/egg_rolls.jpg,"['cabbage', 'pork', 'soy sauce', 'flour wraps']",40,Egg Rolls,6,"['keto', 'quick']",3,3,6,cabbage pork soy sauce flour wraps
main course,boiling,italian,https://example.com/fettuccine_alfredo.jpg,"['fettuccine', 'cream', 'parmesan', 'butter']",30,Fettuccine Alfredo,4,"['dairy', 'kid friendly']",1,1,12,fettuccine cream parmesan butter
side dish,roasting,indian,https://example.com/roasted_chickpeas.jpg,"['chickpeas', 'spices', 'oil']",25,Roasted Chickpeas,4,"['vegetarian', 'spicy']",2,5,11,chickpeas spices oil
dessert,steaming,chinese,https://example.com/mango_pudding.jpg,"['mango', 'sugar', 'gelatin']",50,Mango Pudding,6,"['gluten free', 'sweet']",0,6,6,mango sugar gelatin
main course,frying,american,https://example.com/fried_chicken.jpg,"['chicken', 'flour', 'spices', 'oil']",50,Fried Chicken,4,"['kid friendly', 'quick']",1,3,1,chicken flour spices oil
snack,boiling,japanese,https://example.com/ramen.jpg,"['noodles', 'broth', 'pork', 'egg']",40,Ramen,4,"['spicy', 'low carb']",3,1,13,noodles broth pork egg
dessert,baking,french,https://example.com/mille_feuille.jpg,"['puff pastry', 'cream', 'sugar']",80,Mille Feuille,8,"['dairy', 'sweet']",0,0,8,puff pastry cream sugar
main course,grilling,mexican,https://example.com/fajitas.jpg,"['chicken', 'peppers', 'onions', 'tortillas']",35,Chicken Fajitas,4,"['spicy', 'dairy free']",1,4,16,chicken peppers onions tortillas
snack,frying,indian,https://example.com/vada_pav.jpg,"['bread roll', 'potato fritter', 'chutney']",40,Vada Pav,4,"['vegan', 'spicy']",3,3,11,bread roll potato fritter chutney
dessert,boiling,italian,https://example.com/panna_cotta.jpg,"['cream', 'sugar', 'gelatin', 'vanilla']",30,Panna Cotta,4,"['vegetarian', 'sweet']",0,1,12,cream sugar gelatin vanilla
main course,baking,french,https://example.com/coq_au_vin.jpg,"['chicken', 'wine', 'mushrooms', 'onions']",120,Coq au Vin,4,"['dairy free', 'spicy']",1,0,8,chicken wine mushrooms onions
side dish,boiling,japanese,https://example.com/edamame.jpg,"['edamame beans', 'salt']",10,Edamame,4,"['vegetarian', 'low carb']",2,1,13,edamame beans salt
snack,baking,mexican,https://example.com/empanadas.jpg,"['pastry dough', 'beef', 'onions', 'peppers']",50,Empanadas,4,"['kid friendly', 'quick']",3,0,16,pastry dough beef onions peppers
main course,boiling,italian,https://example.com/ravioli.jpg,"['ravioli pasta', 'ricotta', 'tomato sauce', 'parmesan']",40,Spinach and Ricotta Ravioli,4,"['vegetarian', 'dairy']",1,1,12,ravioli pasta ricotta tomato sauce parmesan
snack,frying,american,https://example.com/corn_dogs.jpg,"['hot dogs', 'cornmeal batter', 'oil']",30,Corn Dogs,6,"['kid friendly', 'quick']",3,3,1,hot dogs cornmeal batter oil
dessert,baking,french,https://example.com/tarte_tatin.jpg,"['apples', 'butter', 'sugar', 'puff pastry']",60,Tarte Tatin,8,"['vegetarian', 'sweet']",0,0,8,apples butter sugar puff pastry
main course,grilling,greek,https://example.com/gyros.jpg,"['lamb', 'pita bread', 'tzatziki sauce', 'vegetables']",45,Greek Gyros,4,"['dairy', 'low carb']",1,4,10,lamb pita bread tzatziki sauce vegetables
side dish,boiling,indian,https://example.com/dal_tadka.jpg,"['yellow lentils', 'ghee', 'spices', 'garlic']",40,Dal Tadka,4,"['vegetarian', 'vegan']",2,1,11,yellow lentils ghee spices garlic
snack,frying,mexican,https://example.com/taquitos.jpg,"['corn tortillas', 'chicken', 'cheese', 'salsa']",35,Chicken Taquitos,4,"['kid friendly', 'spicy']",3,3,16,corn tortillas chicken cheese salsa
dessert,baking,american,https://example.com/red_velvet.jpg,"['flour', 'cocoa powder', 'cream cheese', 'food coloring']",50,Red Velvet Cake,8,"['kid friendly', 'sweet']",0,0,1,flour cocoa powder cream cheese food coloring
main course,baking,indian,https://example.com/biryani.jpg,"['rice', 'chicken', 'saffron', 'spices']",60,Chicken Biryani,6,"['spicy', 'dairy free']",1,0,11,rice chicken saffron spices
snack,steaming,chinese,https://example.com/bao.jpg,"['pork', 'flour', 'yeast', 'sugar']",50,Char Siu Bao,4,"['low carb', 'sweet']",3,6,6,pork flour yeast sugar
dessert,frying,indian,https://example.com/jalebi.jpg,"['flour', 'sugar', 'yogurt', 'ghee']",30,Jalebi,8,"['gluten free', 'sweet']",0,3,11,flour sugar yogurt ghee
main course,boiling,japanese,https://example.com/soba.jpg,"['soba noodles', 'soy sauce', 'scallions', 'mushrooms']",25,Soba Noodle Soup,4,"['vegan', 'low carb']",1,1,13,soba noodles soy sauce scallions mushrooms
snack,baking,italian,https://example.com/arancini.jpg,"['risotto', 'mozzarella', 'bread crumbs', 'oil']",45,Arancini,6,"['dairy', 'spicy']",3,0,12,risotto mozzarella bread crumbs oil
side dish,roasting,french,https://example.com/ratatouille.jpg,"['zucchini', 'eggplant', 'tomatoes', 'herbs']",50,Provencal Ratatouille,4,"['vegetarian', 'gluten free']",2,5,8,zucchini eggplant tomatoes herbs
dessert,baking,french,https://example.com/clafoutis.jpg,"['cherries', 'milk', 'sugar', 'eggs']",50,Cherry Clafoutis,6,"['gluten free', 'sweet']",0,0,8,cherries milk sugar eggs
main course,grilling,american,https://example.com/steak.jpg,"['beef steak', 'salt', 'pepper', 'butter']",30,Grilled Ribeye Steak,2,"['keto', 'low carb']",1,4,1,beef steak salt pepper butter
snack,frying,indian,https://example.com/bhaji.jpg,"['onions', 'chickpea flour', 'spices', 'oil']",20,Onion Bhaji,4,"['gluten free', 'spicy']",3,3,11,onions chickpea flour spices oil
dessert,baking,french,https://example.com/madeleines.jpg,"['butter', 'sugar', 'flour', 'eggs']",35,French Madeleines,12,"['dairy', 'sweet']",0,0,8,butter sugar flour eggs
main course,boiling,italian,https://example.com/gnocchi.jpg,"['potatoes', 'flour', 'parmesan', 'butter']",40,Potato Gnocchi,4,"['vegetarian', 'dairy']",1,1,12,potatoes flour parmesan butter
snack,frying,mexican,https://example.com/churros.jpg,"['flour', 'sugar', 'cinnamon', 'oil']",30,Churros,8,"['gluten free', 'sweet']",3,3,16,flour sugar cinnamon oil
main course,steaming,chinese,https://example.com/ma_po_tofu.jpg,"['tofu', 'ground pork', 'chili bean paste', 'scallions']",25,Ma Po Tofu,4,"['spicy', 'dairy free']",1,6,6,tofu ground pork chili bean paste scallions
side dish,boiling,indian,https://example.com/poha.jpg,"['flattened rice', 'peanuts', 'curry leaves', 'spices']",15,Poha,2,"['vegan', 'quick']",2,1,11,flattened rice peanuts curry leaves spices
dessert,baking,french,https://example.com/creme_brulee.jpg,"['cream', 'sugar', 'egg yolks', 'vanilla']",45,Crème Brûlée,4,"['dairy', 'sweet']",0,0,8,cream sugar egg yolks vanilla
main course,grilling,american,https://example.com/pulled_pork.jpg,"['pork shoulder', 'barbecue sauce', 'spices']",60,Pulled Pork Sandwiches,4,"['kid friendly', 'dairy free']",1,4,1,pork shoulder barbecue sauce spices
snack,frying,chinese,https://example.com/spring_roll.jpg,"['cabbage', 'carrots', 'soy sauce', 'wrappers']",25,Veggie Spring Rolls,6,"['vegan', 'quick']",3,3,6,cabbage carrots soy sauce wrappers
dessert,baking,american,https://example.com/pumpkin_pie.jpg,"['pumpkin', 'sugar', 'pie crust', 'spices']",60,Pumpkin Pie,8,"['vegetarian', 'sweet']",0,0,1,pumpkin sugar pie crust spices
main course,frying,indian,https://example.com/kofta.jpg,"['ground meat', 'spices', 'yogurt', 'chickpea flour']",45,Lamb Kofta,4,"['spicy', 'low carb']",1,3,11,ground meat spices yogurt chickpea flour
snack,baking,mexican,https://example.com/quesadillas.jpg,"['tortilla', 'cheese', 'peppers', 'onions']",15,Cheese Quesadilla,4,"['vegetarian', 'kid friendly']",3,0,16,tortilla cheese peppers onions
side dish,boiling,japanese,https://example.com/sunomono.jpg,"['cucumber', 'rice vinegar', 'sugar', 'sesame seeds']",15,Cucumber Sunomono,4,"['gluten free', 'low carb']",2,1,13,cucumber rice vinegar sugar sesame seeds
main course,steaming,chinese,https://example.com/hot_pot.jpg,"['beef', 'mushrooms', 'bok choy', 'chili broth']",50,Chinese Hot Pot,6,"['spicy', 'keto']",1,6,6,beef mushrooms bok choy chili broth
dessert,baking,french,https://example.com/galette.jpg,"['peaches', 'sugar', 'flour', 'butter']",40,Peach Galette,6,"['dairy', 'sweet']",0,0,8,peaches sugar flour butter
main course,grilling,greek,https://example.com/souvlaki.jpg,"['pork skewers', 'lemon', 'oregano', 'garlic']",35,Pork Souvlaki,4,"['low carb', 'dairy free']",1,4,10,pork skewers lemon oregano garlic
snack,baking,indian,https://example.com/khakhra.jpg,"['wheat flour', 'spices', 'oil']",20,Masala Khakhra,6,"['vegan', 'gluten free']",3,0,11,wheat flour spices oil
dessert,boiling,thai,https://example.com/sticky_rice.jpg,"['glutinous rice', 'coconut milk', 'mango']",40,Mango Sticky Rice,4,"['dairy free', 'sweet']",0,1,18,glutinous rice coconut milk mango
main course,frying,japanese,https://example.com/katsu.jpg,"['pork cutlets', 'panko', 'cabbage', 'tonkatsu sauce']",40,Pork Katsu,4,"['quick', 'dairy free']",1,3,13,pork cutlets panko cabbage tonkatsu sauce
side dish,roasting,italian,https://example.com/caprese.jpg,"['tomatoes', 'mozzarella', 'basil', 'olive oil']",15,Caprese Salad,4,"['vegetarian', 'gluten free']",2,5,12,tomatoes mozzarella basil olive oil
dessert,baking,american,https://example.com/bundt_cake.jpg,"['flour', 'sugar', 'butter', 'eggs']",50,Chocolate Bundt Cake,8,"['kid friendly', 'sweet']",0,0,1,flour sugar butter eggs
snack,frying,indian,https://example.com/bhel_puri.jpg,"['puffed rice', 'tamarind', 'onions', 'peanuts']",20,Bhel Puri,4,"['spicy', 'vegan']",3,3,11,puffed rice tamarind onions peanuts
main course,baking,mexican,https://example.com/tamales.jpg,"['corn dough', 'chicken', 'chilies', 'husks']",60,Tamales,4,"['spicy', 'gluten free']",1,0,16,corn dough chicken chilies husks
